Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:19:56:01.754,61,0.0003456437,0.2658532262,0.0832972154,0.0000000000,0.0000000000,0.1276422441,0.0997757092,0.0003440067,0.2660725117,0.0495445952,0.0000000000,0.0000000000,0.1277432889,0.1003425196,0.0731206983,0.0317437276,0.0000000000,0.1767171770,0.0438956022,0.2887418270,0.1534018517,0.0244643390,0.0000000000,0.1765732765,0.1638304740,0.0000000000,0.0000000000,0.0417884849,0.0416820422,0.2211689800,0.1949605048,0.0198245607,0.0144440271,0.1187932491,0.1284661293,0.0423986539,0.0437550321,0.6367031932,0.6013981104,0.3429280221,0.3300040662,0.5548884273,0.5545913577,0.1295847893,0.0000000000,0.0000000000,0.0086353999,0.1196134165,0.1404409707,0.2652746439,0.2758651376,0.0030879676,0.0000000000,0.0000000000,0.0000000000,-0.0298660733,0.1626076251,-0.0048989449,0.0502132960,0.1626072675,0.0082341321
20:19:56:02.755,61,0.0003180987,0.2618625462,0.0824654624,0.0000000000,0.0000000000,0.1253267676,0.0962519348,0.0003165921,0.2620684206,0.0503223799,0.0000000000,0.0000000000,0.1254354268,0.0968557820,0.0733389556,0.0320276432,0.0000000000,0.1787534803,0.0460267067,0.2404961437,0.1536162645,0.0244547799,0.0000000000,0.1676925272,0.1603613496,0.0000000000,0.0000000000,0.0422716439,0.0421666391,0.2201160789,0.1939893067,0.0201497730,0.0147281755,0.1132224947,0.1196260005,0.0419264622,0.0432690568,0.6182572842,0.5816885829,0.3017719388,0.2953981161,0.5310351849,0.5307193995,0.1357157677,0.0000000000,0.0000000000,0.0087262644,0.1161200404,0.1374184042,0.2492791116,0.2612846494,0.0029922524,0.0000000000,0.0000000000,0.0000000000,-0.0303470027,0.1601628512,-0.0049016620,0.0497316234,0.1601624489,0.0080304677
20:19:56:03.756,61,0.0002927488,0.2606127858,0.0808849707,0.0000000000,0.0000000000,0.1227384210,0.0794412419,0.0002913622,0.2607979476,0.0518490300,0.0000000000,0.0000000000,0.1228462383,0.0799617246,0.0735861957,0.0310003571,0.0000000000,0.1822806001,0.0488505103,0.2272898704,0.1535250843,0.0244750120,0.0000000000,0.1646461040,0.1586579531,0.0000000000,0.0000000000,0.0427890569,0.0426966846,0.2190451324,0.1931246817,0.0205017775,0.0150620043,0.1079530045,0.1123737469,0.0413666405,0.0426894166,0.5958492756,0.5624145269,0.2801350951,0.2719722688,0.4823043942,0.4819749892,0.1395078450,0.0000000000,0.0000000000,0.0087954020,0.1138212234,0.1344390661,0.2337199748,0.2431897968,0.0025899061,0.0000000000,0.0000000000,0.0000000000,-0.0312715545,0.1593909711,-0.0050261859,0.0487845168,0.1593905389,0.0078390446
20:19:56:04.756,61,0.0002694190,0.2562269866,0.0785397291,0.0000000000,0.0000000000,0.1211650595,0.0670863688,0.0002681430,0.2563804388,0.0540897585,0.0000000000,0.0000000000,0.1212751418,0.0676365420,0.0737387612,0.0310951881,0.0000000000,0.1836481690,0.0504111536,0.2176090926,0.1532457322,0.0247353427,0.0000000000,0.1594337672,0.1549479216,0.0000000000,0.0000000000,0.0433669277,0.0432912819,0.2186263353,0.1924780458,0.0209818762,0.0154032577,0.1056472957,0.1086604968,0.0408187583,0.0421147980,0.5801194906,0.5411210656,0.2614705265,0.2517350614,0.4679648578,0.4676287472,0.1463562846,0.0000000000,0.0000000000,0.0088591846,0.1118090600,0.1319108605,0.2209165394,0.2303360552,0.0019036024,0.0000000000,0.0000000000,0.0000000000,-0.0326370187,0.1566980481,-0.0051554698,0.0473902635,0.1566975564,0.0074843783
20:19:56:05.758,61,0.0002479485,0.2510199547,0.0774753317,0.0000000000,0.0000000000,0.1201848164,0.0595367663,0.0002467741,0.2511580884,0.0550445803,0.0000000000,0.0000000000,0.1202947944,0.0600854382,0.0737287998,0.0305743944,0.0000000000,0.1842273027,0.0514879860,0.2117758244,0.1523040384,0.0250398647,0.0000000000,0.1535885483,0.1471030265,0.0000000000,0.0000000000,0.0438823700,0.0438292474,0.2179740518,0.1917358041,0.0214542989,0.0157613736,0.1032229066,0.1050835922,0.0402025543,0.0414780565,0.5601418018,0.5212034583,0.2473167777,0.2374682426,0.4602612555,0.4599185884,0.1507877558,0.0000000000,0.0000000000,0.0089091966,0.1100932807,0.1291102171,0.2072487622,0.2150595635,0.0014905529,0.0000000000,0.0000000000,0.0000000000,-0.0332297087,0.1535091698,-0.0051405239,0.0467712767,0.1535085887,0.0072339615
20:19:56:06.759,61,0.0002281890,0.2505803108,0.0781049058,0.0000000000,0.0000000000,0.1188653484,0.0555700585,0.0002271082,0.2507262826,0.0543388836,0.0000000000,0.0000000000,0.1189757362,0.0561377555,0.0734943822,0.0301040355,0.0000000000,0.1847182810,0.0532467328,0.2086860687,0.1516409367,0.0255483314,0.0000000000,0.1516313404,0.1445864141,0.0000000000,0.0000000000,0.0444127955,0.0443785898,0.2146558464,0.1881114841,0.0219472237,0.0161691606,0.1005287990,0.1011604294,0.0395748504,0.0408218168,0.5402247906,0.4992739856,0.2299698144,0.2193207145,0.4266621470,0.4262293577,0.1532559544,0.0000000000,0.0000000000,0.0089579718,0.1087675467,0.1271175146,0.1990003288,0.2058117539,0.0011723384,0.0000000000,0.0000000000,0.0000000000,-0.0328050256,0.1532430947,-0.0050659166,0.0471532904,0.1532424688,0.0072801593
20:19:56:07.760,61,0.0002100042,0.2483901232,0.0786086023,0.0000000000,0.0000000000,0.1174639016,0.0537271239,0.0002090095,0.2485413402,0.0537707098,0.0000000000,0.0000000000,0.1175766066,0.0543132275,0.0731796324,0.0318903066,0.0000000000,0.1851573884,0.0548864305,0.2067097574,0.1510143131,0.0261831228,0.0000000000,0.1486350596,0.1413362920,0.0000000000,0.0000000000,0.0449176095,0.0449105054,0.2136621326,0.1867623031,0.0224714130,0.0165722780,0.0990584716,0.0986678749,0.0389531367,0.0401617326,0.5323108435,0.4893110096,0.2194888294,0.2086788863,0.4164102972,0.4159166217,0.1558848023,0.0000000000,0.0000000000,0.0090047512,0.1059096903,0.1238950118,0.1916661263,0.1987313926,0.0009540844,0.0000000000,0.0000000000,0.0000000000,-0.0324686766,0.1519059688,-0.0049695638,0.0474671423,0.1519053280,0.0072636339
20:19:56:08.761,61,0.0001932685,0.2439028323,0.0786408037,0.0000000000,0.0000000000,0.1161282212,0.0528719947,0.0001923531,0.2440523654,0.0536460690,0.0000000000,0.0000000000,0.1162444875,0.0534739047,0.0730477124,0.0336616300,0.0000000000,0.1853123605,0.0560955368,0.2053718865,0.1465889513,0.0275353100,0.0000000000,0.1473257989,0.1398689449,0.0000000000,0.0000000000,0.0455217585,0.0455482267,0.2142937779,0.1864861548,0.0230295435,0.0170301236,0.0974016860,0.0955049917,0.0384253375,0.0395771861,0.5285840631,0.4849261045,0.2049765736,0.1934682876,0.3814163208,0.3807918131,0.1570972651,0.0000000000,0.0000000000,0.0090749320,0.1025997847,0.1196799800,0.1824353039,0.1893727779,0.0007178634,0.0000000000,0.0000000000,0.0000000000,-0.0324068964,0.1491620243,-0.0048691593,0.0475063212,0.1491613090,0.0071363249
20:19:56:09.762,61,0.0001778666,0.2433576435,0.0790911913,0.0000000000,0.0000000000,0.1141178012,0.0522805937,0.0001770241,0.2435123473,0.0531672388,0.0000000000,0.0000000000,0.1142361984,0.0529009365,0.0728606582,0.0345926806,0.0000000000,0.1853647083,0.0584799722,0.2046437114,0.1450373083,0.0286498759,0.0000000000,0.1455608457,0.1364591867,0.0000000000,0.0000000000,0.0461334921,0.0461991094,0.2154090405,0.1867154390,0.0236437898,0.0175194591,0.0965391472,0.0939744338,0.0379654765,0.0390489362,0.5116290450,0.4698860943,0.1930599064,0.1814908534,0.3677139878,0.3669728339,0.1575768739,0.0000000000,0.0000000000,0.0091670351,0.0993979797,0.1154198647,0.1772810966,0.1839615256,0.0005879855,0.0000000000,0.0000000000,0.0000000000,-0.0321192294,0.1488305777,-0.0048150695,0.0477807820,0.1488298476,0.0071613328
20:19:56:10.762,61,0.0001636920,0.2401622087,0.0795754939,0.0000000000,0.0000000000,0.1120847389,0.0528858267,0.0001629167,0.2403210849,0.0526007228,0.0000000000,0.0000000000,0.1122014448,0.0535589084,0.0726277456,0.0352104306,0.0000000000,0.1850634515,0.0606900752,0.2038615346,0.1438908279,0.0295099542,0.0000000000,0.1447551250,0.1352539212,0.0000000000,0.0000000000,0.0467374250,0.0468575135,0.2158637643,0.1868630648,0.0243268590,0.0180683490,0.0958110094,0.0923681781,0.0375389196,0.0385593362,0.5042228103,0.4625593424,0.1778042465,0.1680852622,0.3332362175,0.3323886395,0.1578507572,0.0000000000,0.0000000000,0.0092799319,0.0974498317,0.1129770204,0.1702727377,0.1764682233,0.0003873156,0.0000000000,0.0000000000,0.0000000000,-0.0317862146,0.1468785703,-0.0047017517,0.0480873212,0.1468777508,0.0071113296
